歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
過去を喰らう,master,12.9,物量譜面,"高速處理, 全體難, 拘束配置",,中低,BPM 187、CHAIN 2034，中高速且整體處理量高。
THE BRASS OF GOODSPEED!!,master,12.9,物量譜面,"全體難, 拘束配置, 混合節奏",多鍵盤,中低,BPM 180、CHAIN 2515，整體處理量偏高，長條/滑條與 TAP 混合壓力明顯。
ハオ,master,12.9,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,雖定數為 12.9，但圖面處理量與 BPM 176 的中高速配置壓力明顯；穩定度是主軸。
LEMON MELON COOKIE,master,12.9,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 180、CHAIN 1710，偏綜合型，節奏、配置與基礎穩定度都要顧。
はいよろこんで,master,12.9,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 147、CHAIN 1599，偏綜合型，節奏、配置與基礎穩定度都要顧。
はじまりの未来,master,12.9,局部難,"視認難, 拘束配置, 標準",,中,BPM 156、CHAIN 1377，CHAIN 偏低，主要看局部配置與讀譜。
ビビデバ,master,12.9,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 120、CHAIN 1674，低速配置與讀譜穩定度較重要。
リアライズ,master,12.9,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 150、CHAIN 1539，偏綜合型。
それはもうらぶちゅ,master,12.9,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 191、CHAIN 1579，中高速段落與配置處理。
君と夏色っ!~わんダフルバケーション~,master,12.9,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 155、CHAIN 1633，偏綜合配置型。
Dive a Wave,master,12.9,局部難,"視認難, 拘束配置, 標準",,中,BPM 134、CHAIN 1298，CHAIN 偏低，局部配置與讀譜較關鍵。
恋するみたいに☆かませレッドヘルズ,master,12.9,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 194、CHAIN 1679，中高速段落與配置處理。
UTAKATA,master,12.9,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 185、CHAIN 1641，中高速段落與配置處理。
セカイ,master,12.9,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 133、CHAIN 1618，偏中低速綜合配置型。
ヒバリ,master,12.9,局部難,"視認難, 拘束配置, 標準",,中,BPM 140、CHAIN 1309，CHAIN 偏低，主要看局部配置與讀譜。
ルナティックレッドアイズ,master,12.9,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 180、CHAIN 1921，偏中速綜合型，處理量中高。
失敗作少女,master,12.9,高速處理,"局部難, 混合節奏, 視認難",,中,BPM 235、CHAIN 1633，速度壓力明顯，偏高速段落。
Get a Life!,master,12.9,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 185、CHAIN 1545，中高速段落與配置處理。
Tattoo,master,12.9,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 155、CHAIN 1826，偏綜合型，節奏、配置與基礎穩定度都要顧。
ベノム,master,12.9,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 152、CHAIN 1701，偏綜合型，節奏、配置與基礎穩定度都要顧。
ロスタイムメモリー,master,12.9,高速處理,"拘束配置, 混合節奏, 局部難","餡蜜可用, 交互穩定, 鍵盤",中,BPM 210、CHAIN 1621，速度壓力明顯，重點偏中高速讀譜與段落處理。
単一指向性オーバーブルーム,master,12.9,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 158、CHAIN 1568，偏綜合型，節奏、配置與基礎穩定度都要顧。
Scream out! -CHUNITHM Tuning-,master,12.9,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 165、CHAIN 1770，偏綜合型，節奏、配置與基礎穩定度都要顧。
クレッシェンド・ストーリー,master,12.9,標準,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 180、CHAIN 1995，偏綜合型，節奏、配置與基礎穩定度都要顧。
青春サイダー,master,12.9,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 160、CHAIN 1698，偏綜合型，節奏、配置與基礎穩定度都要顧。
Cosmic twinkle star,master,12.9,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 175、CHAIN 1709，偏綜合型，節奏、配置與基礎穩定度都要顧。
木彫り鯰と右肩ゾンビ,master,12.9,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 150、CHAIN 1884，偏綜合型，節奏、配置與基礎穩定度都要顧。
相思創愛,master,12.9,高速處理,"拘束配置, 混合節奏","餡蜜可用, 交互穩定, 鍵盤",中,BPM 195、CHAIN 1674，速度壓力明顯，重點偏中高速讀譜與段落處理。
天狗の落とし文 feat. ytr,master,12.9,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 160、CHAIN 1703，偏綜合型，節奏、配置與基礎穩定度都要顧。
Through The Tower,master,12.9,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 140、CHAIN 1106，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
虎視眈々,master,12.9,標準,"拘束配置, 混合節奏, 局部難",,中,BPM 134、CHAIN 1541，偏綜合型，節奏、配置與基礎穩定度都要顧。
D.E.A.D.L.Y.,master,12.9,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 175、CHAIN 1877，偏綜合型，節奏、配置與基礎穩定度都要顧。
蒼空に舞え、墨染の桜,master,12.9,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 150、CHAIN 1384，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
LibrariA,expert,13,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，牽制與 TAP 混合持續；推分看全程穩定。
Nhelv,expert,13,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 混合持續；推分重點在全程穩定。
Devastating Blaster,expert,13,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 混合持續；全程穩定是主軸。
ニルヴの心臓,expert,13,高速處理,"局部難,拘束配置,階段","階段,餡蜜可用",中,圖面有高速局部配置與階段壓力，BPM 256 下候選段可形成 JUSTICE 重疊；部分段落可用餡蜜降低失誤。
Falsum Atlantis.,expert,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條牽制多，局部 TAP 配置容易卡手；主要看手順整理。
Reverberate,expert,13,局部難,"拘束配置,視認難,混合節奏",片手處理,中,圖面有局部長條/滑條牽制與 TAP 壓力，段落差明顯；主要看局部手順。
《偏愛》 ~ Shattered Memories,expert,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條與 TAP 交錯多，視認與手順牽制明顯；整體不是單純物量。
Alea jacta est!,expert,13,局部難,"拘束配置,視認難,混合節奏",,中,圖面有局部配置與牽制壓力，但技巧殺點不夠單一，先不硬標技巧標籤。
初音ミクの激唱,expert,13,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面有中高速密集配置與牽制；BPM 200 下 16分候選可形成 JUSTICE 重疊，局部可用餡蜜輔助。
Garakuta Doll Play,expert,13,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面 BPM 256 的高速配置與階段壓力明顯；候選段計算可用餡蜜輔助局部穩定。
parvorbital,expert,13,局部難,"拘束配置,視認難,混合節奏",,中,圖面段落差明顯，有局部密集與滑條/長條牽制，但核心技巧不算單一；先不硬標技巧標籤。
Pre Paid Pog Punk Panic,expert,13,高速處理,"階段,拘束配置,局部難",階段,中,圖面有多段斜向階段與中高速配置，並穿插長條/滑條牽制；主要殺點是階段與局部速度反應。
竹,expert,13,拘束配置,"全體難,視認難,混合節奏",片手處理,中高,定數空白；圖面有大量長條/滑條與 TAP 交錯，段落中手順牽制明顯，建議人工確認定數與歌名。
アイ情劣等生,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN 很高，圖面整體配置量大，BPM 199 下速度壓力也明顯。
Paradisus-Paradoxum,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 201 下整體處理量高，長條/滑條與 TAP 持續交錯；全程穩定是主軸。
エモーション・キャプチャー,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，BPM 185 下中高速處理與牽制持續；穩定是主軸。
モ ミ ア ゲ ヲ シ ャ カ ア ゲ ヲ,master,13,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,CHAIN 高，圖面整體配置量持續；長條/滑條與 TAP 混合多，穩定處理是主軸。
絶対敵対メチャキライヤー,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 190 下中高速配置持續，處理量偏高；推分重點是全程穩定。
海に化ける,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 190 下中高速配置與處理量明顯；推分看全程穩定。
INTERNET OVERDOSE,master,13,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,CHAIN 高，圖面配置量持續，長條/滑條與 TAP 混合多；穩定與耐力是核心。
デリヘル呼んだら君が来た,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 190 下配置量偏高，TAP 與牽制配置持續；推分重點是全程穩定。
ラヴィ,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高且 BPM 183 有速度壓力；主要吃節奏與全程穩定。
The Greatest Night,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 205 下配置速度明顯，TAP 與牽制持續；全程穩定是主軸。
ハートサーモグラフィー,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 180 下中高速配置與牽制持續，處理量偏高；穩定度重要。
colorful,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 182 下處理量偏高，中高速 TAP 與牽制持續；穩定度是主軸。
ひめごと*クライシスターズ,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 183 下整體配置量偏高，牽制與 TAP 持續；全程穩定是主軸。
Fallin' Darlin' Rollin',master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 202 下中高速配置壓力明顯，處理量也偏高；穩定是核心。
MAIGAHARA パンチラインキッカーズ,master,13,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 混合持續；推分看全程穩定。
Music Evolution,master,13,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，TAP 與牽制配置持續；推分看全程穩定。
Limits,master,13,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,CHAIN 偏高且圖面配置量持續，長條/滑條與 TAP 混合多；全程穩定與耐力是主軸。
夢花火,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 186 下中高速配置與牽制持續，整體處理量偏高；全程穩定是核心。
キレキャリオン,master,13,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 配置持續；全程穩定是主軸。
Absolunote,master,13,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 189 下整體配置量偏高，中高速 TAP 與牽制配置持續；全程穩定是核心。
はっぴーでいず!,master,13,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 226 下中高速配置密度明顯，雖有牽制但主壓力在速度與節奏穩定。
ヤミツキ,master,13,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面 BPM 208 下中高速配置明顯，並有牽制混合；速度反應與節奏穩定是主軸。
Necromantic,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與節奏變化都有，但沒有明顯單一技巧殺點。
inkar-usi,master,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面低速感較強，長條/滑條與 TAP 交錯造成視認與手順壓力。
ONLY YOUR STARS!(Trickstar Ver.),master,13,標準,"混合節奏,拘束配置,全體難",,中,圖面偏綜合配置，牽制與 TAP 混合但沒有特別突出的單一殺點。
VERSE,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，配置變化與牽制都有但沒有單一核心技巧。
you (Vocal),master,13,拘束配置,"全體難,視認難,混合節奏",片手處理,中,低 BPM 下長條/滑條與 TAP 的視認牽制很明顯，手順整理比速度更重要。
眩耀夜行(104期Ver.),master,13,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面牽制配置多，TAP 需要在長條/滑條中整理；手順穩定是主軸。
X.Y.Z.,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，有牽制與節奏變化但核心殺點不算單一。
自称、音楽愛好家,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面配置偏綜合，牽制和局部變化存在但沒有單一核心技巧。
インターネットサバイバー,master,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面牽制配置與局部 TAP 壓力明顯，主要看手順與視認。
Pris-Magic!,master,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有大量長條與滑條牽制，視認和手順整理明顯；不是純物量。
ド屑,master,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,低 BPM 下牽制與視認壓力明顯，局部 TAP 需要整理手順。
ばかみたい【Taxi Driver Edition】,master,13,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面低 BPM 但長條/滑條與 TAP 交錯多，視認與手順牽制是核心。
反撃! 突撃! Back To Back!,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，有牽制與局部變化但核心殺點不算單一。
No Limit RED Force,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與局部變化都有但不算極端。
いただきバベル (Prod. ケンモチヒデフミ),master,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條牽制與局部 TAP 配置明顯；主要看手順整理。
キュートなカノジョ,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與局部變化都有但殺點不算單一。
ヒストリー×ブレイカー,master,13,標準,"混合節奏,拘束配置,局部難",,中,圖面段落分明，牽制與局部配置都有但不算全程高壓。
魔法少女とチョコレゐト,master,13,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面長條/滑條與 TAP 交錯多，視認與手順牽制明顯。
トラフィック・ジャム,master,13,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與 TAP 交錯頻繁，手順牽制明顯；推分重點在穩定讀譜。
みずいろレインドロップ,master,13,局部難,"拘束配置,視認難,混合節奏",,中,圖面段落差與局部牽制存在，但核心技巧不夠單一；先不硬標技巧標籤。
最っ高のエンタメだ!!,master,13,高速處理,"全體難,局部難,拘束配置",餡蜜可用,中,圖面 BPM 276 下局部高速配置明顯，候選高速段以 16分估算可形成 JUSTICE 重疊；推分時可用餡蜜輔助局部穩定。
非実在系女子達はどうすりゃいいですか?,master,13,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有長條/滑條與 TAP 交錯，局部手順牽制較明顯；主要看視認與配置整理。
